index,skew,P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EVA,EVB,EVD,SDA,SDB,SDD,skewness_a,skewness_b,skewness_diff,evd_bins,sdd_bins,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D,EUA,EUB,EUA_simple,EUB_simple,EUD_CC,EUD_SC,EUD_CS,EUD_SS,after_diff_CC,after_diff_CS,after_diff_SC,after_diff_SS
29,lr,0.18,10,0.82,49,0.19,52,0.81,27,41.98,31.75,10.229999999999997,14.983310715592866,9.807522622966516,5.17578809262635,-1.6658534601451296,1.5804194999972037,-3.246272960142333,9 to 11,4 to 6,41.98,14.983310715592866,-1.6658534601451294,58,0.28,49,0.1,44,0.24,40,0.14,33,0.12,19,0.03,2,0.09,42.01,15.738166983483177,-1.2923811183484737,31.75,9.807522622966516,1.5804194999972032,60,0.09,48,0.02,39,0.07,34,0.08,31,0.32,28,0.17,21,0.2499999999999999,31.74,10.613783491290935,1.5273354877155851,10.229999999999997,5.17578809262635,-3.2462729601423326,10.27,5.124383492192242,-2.819716606064059,37.03468217527816,33.027389545026544,39.20865699811145,33.443847766610794,4.007292630251612,6.1812674530849065,3.5908344086673623,5.7648092315006565,-6.222707369748385,-6.639165591332635,-4.04873254691509,-4.46519076849934
5,lr,0.83,108,0.17,25,0.86,106,0.14,166,93.89,114.4,-20.510000000000005,31.177522351848296,20.819221887476967,10.358300464371329,-1.7570350646145088,2.0750055037352544,-3.832040568349763,-21 to -19,9 to 11,93.89,31.177522351848296,-1.7570350646145083,126,0.27,109,0.24,95,0.19,81,0.04,66,0.11,46,0.08,19,0.07,93.74000000000001,31.649208520909337,-0.9602613338216526,114.4,20.819221887476967,2.075005503735255,177,0.06,152,0.02,130,0.19,119,0.13,111,0.12,104,0.34,86,0.13999999999999999,114.55000000000001,21.527830824307404,1.2742658674842742,-20.510000000000005,10.358300464371329,-3.832040568349763,-20.810000000000002,10.121377696601932,-2.2345272013059265,84.23459250921881,116.50864689661964,82.62431571240353,122.49312190542757,-32.274054387400824,-33.88433118421611,-38.25852939620876,-39.86880619302404,-11.764054387400819,-17.748529396208752,-13.374331184216103,-19.358806193024037
35,lr,0.88,87,0.12,11,0.93,65,0.07,104,77.88,67.73,10.149999999999991,24.697076750093316,9.950733641294999,14.746343108798317,-2.338738328607311,3.3706057471794124,-5.709344075786723,9 to 11,14 to 16,77.88,24.697076750093316,-2.3387383286073113,103,0.28,90,0.21,80,0.19,70,0.02,59,0.18,37,0.07,8,0.05,77.95000000000002,25.19776775827573,-1.1491325393134193,67.73,9.950733641294999,3.370605747179413,119,0.02,89,0.07,73,0.13,68,0.11,66,0.19,64,0.27,57,0.21,67.37,10.781145579204466,2.584864313566063,10.149999999999991,14.746343108798317,-5.709344075786724,10.580000000000013,14.416622179071265,-3.733996852879482,69.56905030304485,70.64518251116426,67.80762987394343,72.29958813974963,-1.076132208119418,-2.8375526372208384,-2.7305378367047837,-4.491958265806204,-11.22613220811941,-12.880537836704775,-12.98755263722083,-14.641958265806196
2,lr,0.86,95,0.14,9,0.16,159,0.84,92,82.96000000000001,102.72,-19.75999999999999,29.840884705383655,24.5626057249633,5.278278980420353,-2.0750055037352504,1.8548520670059385,-3.9298575707411887,-21 to -19,4 to 6,82.96000000000001,29.840884705383655,-2.0750055037352504,134,0.07,108,0.25,90,0.23,73,0.29,52,0.08,27,0.02,2,0.06,83.07000000000001,30.19677300639921,-0.9076825115835563,102.72,24.5626057249633,1.8548520670059387,182,0.04,155,0.03,132,0.08,114,0.16,102,0.25,90,0.28,71,0.1599999999999999,102.78999999999999,25.075204884506924,1.3092194521088487,-19.75999999999999,5.278278980420353,-3.929857570741189,-19.719999999999985,5.121568121892285,-2.216901963692405,76.02097000051755,105.7593937606855,71.35985860222048,107.90177482437689,-29.738423760167947,-34.399535158465014,-31.880804823859336,-36.5419162221564,-9.978423760167956,-12.120804823859345,-14.639535158465023,-16.78191622215641
19,lr,0.91,52,0.09,18,0.14,62,0.86,47,48.94,49.1,-0.1600000000000037,9.730179854452846,5.204805471869242,4.525374382583604,-2.8653118870399172,2.075005503735228,-4.940317390775146,-1 to 1,4 to 6,48.94,9.730179854452846,-2.8653118870399172,60,0.19,53,0.16,51,0.22,49,0.13,46,0.17,35,0.09,9,0.04000000000000001,48.8,10.467091286503619,-2.163386048271154,49.1,5.204805471869242,2.075005503735228,75,0.03,53,0.28,51,0.04,49,0.22,47,0.13,45,0.07,42,0.23,48.83,6.14825991643164,2.0669998363022275,-0.1600000000000037,4.525374382583604,-4.940317390775146,-0.030000000000001137,4.318831370071979,-4.230385884573382,44.80305608197918,50.08448429912969,44.67819824973142,50.346099234856766,-5.281428217150513,-5.406286049398268,-5.543043152877587,-5.667900985125343,-5.121428217150509,-5.383043152877583,-5.246286049398265,-5.507900985125339
20,ns,0.33,19,0.67,56,0.62,54,0.38,28,43.790000000000006,44.12,-0.3299999999999912,17.397870559352945,12.620047543492062,4.777823015860884,-0.7230769971004941,-0.4944513860581951,-0.228625611042299,-1 to 1,4 to 6,43.790000000000006,17.397870559352945,-0.723076997100494,69,0.17,54,0.19,46,0.21,41,0.1,34,0.2,20,0.04,2,0.09000000000000012,43.529999999999994,18.12647511238741,-0.6904637517416462,44.12,12.620047543492062,-0.49445138605819505,66,0.14,53,0.11,47,0.19,44,0.22,40,0.16,30,0.1,13,0.08000000000000002,44.12,13.319369354440173,-0.4891162225608137,-0.3299999999999912,4.777823015860884,-0.22862561104229895,-0.5900000000000034,4.807105757947237,-0.20134752918083249,39.39088974549525,41.5451858697595,43.230369184516206,41.679354642936815,-2.154296124264249,1.6851833147567064,-2.288464897441564,1.5510145415793914,-1.824296124264258,-1.9584648974415728,2.0151833147566975,1.8810145415793826
25,ns,0.53,189,0.47,20,0.39,22,0.61,165,109.57,109.22999999999999,0.3400000000000034,84.34776286304219,69.74824083803118,14.599522025011012,-0.12021658495512873,-0.4510508024576009,0.33083421750247216,-1 to 1,14 to 16,109.57,84.34776286304219,-0.12021658495512876,200,0.24,186,0.21,144,0.06,99,0.05,52,0.1,11,0.31,2,0.03,109.32000000000001,83.40586070534852,-0.12834349291747973,109.22999999999999,69.74824083803118,-0.4510508024576008,200,0.03,177,0.35,139,0.16,99,0.11,62,0.12,31,0.02,2,0.21,109.56,69.37266320388746,-0.45056472848626894,0.3400000000000034,14.599522025011012,0.33083421750247205,-0.23999999999999488,14.03319750146106,0.32222123556878923,97.56801480775414,97.05784623215655,98.92485913688405,110.49457654407885,0.5101685755975893,1.8670129047275026,-12.926561736324715,-11.569717407194801,0.1701685755975859,-13.266561736324718,1.5270129047274992,-11.909717407194805
34,ns,0.44,89,0.56,41,0.54,60,0.46,43,62.120000000000005,52.18000000000001,9.939999999999998,23.826573400302443,8.472756340176437,15.353817060126007,0.2417468892076136,-0.16051447078102923,0.4022613599886429,9 to 11,14 to 16,62.120000000000005,23.826573400302443,0.2417468892076136,112,0.07,87,0.21,74,0.12,65,0.09,56,0.15,45,0.17,28,0.19,62.209999999999994,24.463562700473535,0.24101643903253533,52.18000000000001,8.472756340176437,-0.16051447078102926,64,0.28,58,0.04,54,0.15,52,0.05,50,0.1,47,0.21,37,0.17,52.1,9.287087810503355,-0.16603510596203724,9.939999999999998,15.353817060126007,0.4022613599886429,10.109999999999992,15.17647488997018,0.4070515449945726,61.11084354608618,50.54689376705514,60.743396281245396,51.047339569187216,10.563949779031041,10.196502514190257,10.063503976898964,9.69605671205818,0.6239497790310438,0.12350397689896653,0.2565025141902595,-0.24394328794181774
28,ns,0.3,43,0.7,75,0.63,63,0.37,43,65.4,55.599999999999994,9.800000000000011,14.66424222385869,9.656086163658648,5.008156060200042,-0.8728715609439763,-0.5385204638676989,-0.3343510970762774,9 to 11,4 to 6,65.4,14.66424222385869,-0.8728715609439763,101,0.04,76,0.35,68,0.15,63,0.19,57,0.17,42,0.03,24,0.07,65.44,15.50891356607548,-0.8737842214735605,55.599999999999994,9.656086163658648,-0.5385204638676989,75,0.12,65,0.04,57,0.3,55,0.25,52,0.19,42,0.03,28,0.07,55.55,10.521763160231274,-0.5402328037416025,9.800000000000011,5.008156060200042,-0.3343510970762774,9.89,4.987150405844206,-0.33355141773195796,62.5900608533393,53.69643346701328,64.53621011590523,53.66010651667335,8.893627386326024,10.839776648891956,8.92995433666595,10.876103599231882,-0.9063726136739874,-0.8700456633340607,1.0397766488919444,1.076103599231871
23,ns,0.42,158,0.58,22,0.68,40,0.32,162,79.12,79.04,0.0799999999999983,67.12395697513668,56.91009049369014,10.213866481446537,0.3241763593892432,0.7717436331412899,-0.4475672737520467,-1 to 1,9 to 11,79.12,67.12395697513668,0.32417635938924316,177,0.21,144,0.13,111,0.02,78,0.15,49,0.11,23,0.16,2,0.22,79.32000000000001,67.02057594500363,0.3261652298151046,79.04,56.91009049369014,0.7717436331412899,197,0.11,165,0.03,135,0.06,104,0.18,74,0.15,45,0.26,14,0.21,79.17999999999999,56.971111977913864,0.7760624778062764,0.0799999999999983,10.213866481446537,-0.44756727375204675,0.14000000000001478,10.049463967089764,-0.44989724799117176,74.97828998509839,80.45828714073166,76.29341413587724,92.63083806129943,-5.479997155633271,-4.164873004854414,-17.652548076201043,-16.337423925422186,-5.559997155633269,-17.73254807620104,-4.244873004854412,-16.417423925422185
16,ns,0.44,18,0.56,151,0.65,141,0.35,33,92.48,103.2,-10.719999999999999,66.01946379667136,51.51271687651506,14.506746920156303,-0.2417468892076141,-0.6289709020331513,0.3872240128255372,-11 to -9,14 to 16,92.48,66.01946379667136,-0.24174688920761417,176,0.21,129,0.35,84,0.06,43,0.1,15,0.09,4,0.05,2,0.1400000000000002,93.28,65.25351791282982,-0.22736547786647796,103.2,51.51271687651506,-0.6289709020331513,159,0.25,133,0.24,110,0.19,87,0.02,65,0.04,42,0.09,16,0.17,103.40999999999998,51.90030732086276,-0.6259953584085627,-10.719999999999999,14.506746920156303,0.38722401282553714,-10.129999999999981,13.353210591967063,0.3986298805420847,83.82664738712486,91.97095574789199,96.29433947071588,92.07459702165997,-8.144308360767127,4.323383722823891,-8.247949634535104,4.219742449055914,2.575691639232872,2.472050365464895,15.04338372282389,14.939742449055913
14,ns,0.45,182,0.55,39,0.4,188,0.6,63,103.35000000000001,113.0,-9.649999999999991,71.14160175312333,61.237243569579455,9.90435818354387,0.20100756305184211,0.408248290463863,-0.2072407274120209,-11 to -9,9 to 11,103.35000000000001,71.14160175312333,0.20100756305184217,200,0.17,188,0.04,171,0.16,131,0.07,86,0.12,38,0.38,2,0.06,102.93,70.25300776479253,0.18987683402964498,113.0,61.237243569579455,0.40824829046386296,200,0.24,177,0.09,152,0.02,128,0.06,103,0.03,78,0.26,49,0.3,112.72000000000001,61.47634992417816,0.41480793813471994,-9.649999999999991,9.90435818354387,-0.2072407274120208,-9.790000000000006,8.77665784061437,-0.22493110410507497,95.97100626695533,109.90372830560318,98.688198075083,111.39588381826084,-13.932722038647853,-11.215530230520187,-15.424877551305514,-12.707685743177848,-4.2827220386478615,-5.774877551305522,-1.5655302305201957,-3.0576857431778564
40,ns,0.62,180,0.38,23,0.56,159,0.44,26,120.33999999999999,100.48,19.859999999999985,76.20567170493283,66.01946379667136,10.186207908261466,-0.4944513860581968,-0.2417468892076141,-0.25270449685058266,19 to 21,9 to 11,120.33999999999999,76.20567170493283,-0.4944513860581969,200,0.22,185,0.14,159,0.19,122,0.04,84,0.16,44,0.02,3,0.2299999999999998,120.0,75.89466384404108,-0.508419033859338,100.48,66.01946379667136,-0.24174688920761417,200,0.07,164,0.29,123,0.18,84,0.14,51,0.04,20,0.15,2,0.13,100.76,65.74863040398637,-0.23249002369808117,19.859999999999985,10.186207908261466,-0.2527044968505827,19.239999999999995,10.146033440054708,-0.2759290101612568,104.71023140550156,91.888956597265,105.6022568823492,90.669052354392,12.821274808236566,13.713300285084202,14.041179051109566,14.933204527957201,-7.038725191763419,-5.818820948890419,-6.146699714915783,-4.926795472042784
11,ns,0.36,84,0.64,12,0.54,20,0.46,80,37.92,47.60000000000001,-9.680000000000007,34.56,29.90384590650507,4.6561540934949335,0.5833333333333334,0.16051447078102493,0.42281886255230844,-11 to -9,4 to 6,37.92,34.56,0.5833333333333334,93,0.23,63,0.09,36,0.22,19,0.08,6,0.29,4,0.06,2,0.03,38.54000000000001,34.44805364603347,0.5856102476223146,47.60000000000001,29.90384590650507,0.16051447078102493,93,0.21,61,0.28,36,0.22,20,0.13,10,0.07,4,0.06,2,0.03,48.13000000000001,29.780414704970113,0.16278725720132853,-9.680000000000007,4.6561540934949335,0.42281886255230844,-9.589999999999996,4.667638941063359,0.4228229904209861,37.890866690781216,44.69303201088589,38.146911137010065,51.597625049927444,-6.80216532010467,-6.546120873875822,-13.706758359146228,-13.45071391291738,2.8778346798953365,-4.026758359146221,3.133879126124185,-3.7707139129173726
8,ns,0.58,24,0.42,82,0.57,57,0.43,84,48.36,68.60999999999999,-20.249999999999986,28.626393415867113,13.367045298045488,15.259348117821625,0.3241763593892434,0.2827850071363696,0.04139135225287377,-21 to -19,14 to 16,48.36,28.626393415867113,0.32417635938924344,97,0.15,73,0.2,56,0.11,42,0.07,30,0.24,17,0.19,2,0.04,48.76,28.967609497506004,0.32691738969515993,68.60999999999999,13.367045298045488,0.2827850071363696,91,0.2,82,0.02,73,0.15,69,0.12,66,0.22,59,0.06,50,0.23,68.63,13.908741855394398,0.28037931168778824,-20.249999999999986,15.259348117821625,0.041391352252873825,-19.869999999999997,15.058867642111606,0.0465380780073717,46.398038945302126,67.5708327669152,53.04083430705633,70.69607517613062,-21.172793821613077,-14.529998459858874,-24.298036230828494,-17.65524086907429,-0.9227938216130909,-4.048036230828508,5.720001540141112,2.594759130925695
6,ns,0.6,65,0.4,13,0.57,78,0.43,47,44.2,64.66999999999999,-20.469999999999985,25.474693324945054,15.347348305163338,10.127345019781716,-0.40824829046386385,-0.2827850071363673,-0.12546328332749657,-21 to -19,9 to 11,44.2,25.474693324945054,-0.40824829046386385,77,0.23,61,0.12,50,0.21,40,0.14,30,0.03,19,0.09,2,0.18,44.1,25.9728704613102,-0.35016862358903905,64.66999999999999,15.347348305163338,-0.28278500713636723,93,0.12,76,0.16,68,0.29,63,0.06,58,0.14,49,0.15,29,0.07999999999999978,64.61,16.281213099766234,-0.2850346289544204,-20.469999999999985,10.127345019781716,-0.12546328332749662,-20.509999999999998,9.691657361543967,-0.06513399463461866,39.476182956596425,61.906894571491655,39.65444180409587,62.274876649627814,-22.43071161489523,-22.252452767395788,-22.79869369303139,-22.620434845531946,-1.9607116148952457,-2.328693693031404,-1.782452767395803,-2.1504348455319615
43,ns,0.41,19,0.59,124,0.37,13,0.63,89,80.94999999999999,60.88,20.069999999999986,51.64249703490333,36.693127421902865,14.949369613000464,-0.365977655713009,-0.5385204638677069,0.1725428081546979,19 to 21,14 to 16,80.94999999999999,51.64249703490333,-0.365977655713009,145,0.24,99,0.38,63,0.11,37,0.02,14,0.07,4,0.1,2,0.07999999999999999,81.63,50.85796987690326,-0.3668159633982342,60.88,36.693127421902865,-0.5385204638677069,109,0.16,84,0.31,66,0.17,50,0.07,35,0.05,19,0.03,2,0.21,60.940000000000005,36.91986457179928,-0.4886498440743074,20.069999999999986,14.949369613000464,0.1725428081546979,20.68999999999999,13.938105305103981,0.1218338806760732,72.82131256708308,54.43760187905539,82.71546641441174,60.9444646462737,18.38371068802769,28.277864535356343,11.876847920809382,21.771001768138035,-1.6862893119722955,-8.193152079190604,8.207864535356357,1.701001768138049
3,ns,0.62,78,0.38,14,0.34,38,0.66,92,53.68,73.64000000000001,-19.960000000000015,31.064732414749688,25.580273649826346,5.4844587649233425,-0.49445138605819733,-0.6755205294732025,0.18106914341500518,-21 to -19,4 to 6,53.68,31.064732414749688,-0.4944513860581973,94,0.2,73,0.25,61,0.04,49,0.22,35,0.07,19,0.02,2,0.19999999999999998,53.5,31.749488184851106,-0.4201320641436821,73.64000000000001,25.580273649826346,-0.6755205294732025,114,0.1,90,0.39,77,0.09,66,0.2,51,0.04,34,0.15,5,0.03,73.92,26.027554629661235,-0.6738847456636772,-19.960000000000015,5.4844587649233425,0.18106914341500524,-20.42,5.721933555189871,0.2537526815199951,47.82986432559129,67.85053632001271,47.67225758261369,73.03837149693678,-20.02067199442142,-20.17827873739902,-25.208507171345488,-25.366113914323087,-0.06067199442140492,-5.248507171345473,-0.21827873739900383,-5.406113914323072
39,ns,0.62,47,0.38,155,0.44,121,0.56,26,88.03999999999999,67.80000000000001,20.23999999999998,52.4217359498901,47.156759854765255,5.264976095124844,0.49445138605819766,0.24174688920761359,0.25270449685058405,19 to 21,4 to 6,88.03999999999999,52.4217359498901,0.49445138605819766,177,0.15,150,0.1,126,0.03,102,0.18,79,0.05,56,0.21,31,0.28,88.08000000000001,52.72526529093998,0.49312547695608633,67.80000000000001,47.156759854765255,0.24174688920761356,165,0.02,132,0.23,100,0.09,69,0.21,42,0.2,20,0.11,2,0.14,68.03000000000002,47.128644156181714,0.2423267924623761,20.23999999999998,5.264976095124844,0.2527044968505841,20.049999999999997,5.596621134758266,0.25079868449371023,87.04596748963183,65.49327709509843,98.1780653293394,65.07547180663151,21.5526903945334,32.68478823424097,21.970495683000323,33.10259352270789,1.3126903945334192,1.730495683000342,12.444788234240988,12.862593522707911
