P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D,combined
0.82,56,0.18,20,0.19,49,0.81,38,49.519999999999996,40.09,9.429999999999993,13.830748352854972,4.315309954105252,9.515438398749719,-1.665853460145124,1.5804194999972179,-3.246272960142342,left_vs_right,10,10,49.52,13.830748352854952,-1.665853460145124,66,0.22,55,0.31,51,0.07,47,0.04,43,0.27,27,0.02,8,0.0699999999999997,49.73,14.550501709563132,-1.432108599161244,40.09,4.315309954105252,1.5804194999972179,53,0.11,47,0.02,44,0.09,42,0.1,40,0.12,38,0.21,36,0.35,40.31,5.268197035039597,1.40322038935535,9.429999999999993,9.515438398749684,-3.246272960142342,9.419999999999996,9.282304674523536,-2.835328988516594,"(0.82, 56.0, 0.18, 20.0, 0.19, 49.0, 0.81, 38.0)"
0.82,106,0.18,25,0.2,114,0.8,73,91.42,81.2,10.219999999999999,31.11918379392361,16.399999999999974,14.719183793923637,-1.6658534601451371,1.5000000000000067,-3.1658534601451436,left_vs_right,10,15,91.42,31.119183793923643,-1.665853460145137,122,0.28,102,0.27,87,0.24,70,0.09,50,0.02,28,0.04,3,0.06,91.18,31.65861020322907,-1.4168699850470603,81.2,16.399999999999974,1.5000000000000067,125,0.08,107,0.06,95,0.03,86,0.19,81,0.07,76,0.26,65,0.31,81.19,17.084902692143142,1.30473855560034,10.22,14.71918379392364,-3.1658534601451436,9.990000000000007,14.573707511085932,-2.7216085406474004,"(0.82, 106.0, 0.18, 25.0, 0.2, 114.0, 0.8, 73.0)"
0.85,153,0.15,128,0.19,138,0.81,126,149.24999999999997,128.28,20.96999999999997,8.926785535678766,4.707610859024256,4.21917467665451,-1.9603921176390702,1.5804194999968721,-3.540811617635942,left_vs_right,20,5,184.24999999999997,8.926785535678562,-1.960392117638936,162,0.16,153,0.2,151,0.22,149,0.21,144,0.04,136,0.15,107,0.02,184.33,9.625024675293046,-1.7293120290185078,128.28,4.707610859024256,1.5804194999968721,143,0.09,133,0.12,131,0.05,129,0.14,127,0.3,125,0.02,123,0.28,163.48,5.575804874634692,1.3817191527382189,20.96999999999997,4.219174676654634,-3.540811617635942,20.850000000000023,4.049219800658354,-3.1110311817567267,"(0.85, 188.0, 0.15, 163.0, 0.19, 173.0, 0.81, 161.0)"
0.82,100,0.18,53,0.15,93,0.85,68,91.53999999999999,71.75,19.789999999999992,18.056810349560674,8.926785535678562,9.130024813882113,-1.6658534601451187,1.9603921176392136,-3.6262455777843323,left_vs_right,20,10,91.54,18.056810349560635,-1.6658534601451187,113,0.21,99,0.27,91,0.29,82,0.02,73,0.14,52,0.04,26,0.0299999999999999,91.57,18.79268740760618,-1.457354552902715,71.75,8.926785535678562,1.9603921176392136,104,0.05,86,0.08,78,0.04,73,0.21,71,0.13,69,0.23,62,0.26,71.75000000000001,9.831963181379397,1.760196921680235,19.789999999999992,9.130024813882072,-3.6262455777843323,19.81999999999998,8.960724226226786,-3.21755147458295,"(0.82, 100.0, 0.18, 53.0, 0.15, 93.0, 0.85, 68.0)"
0.82,123,0.18,59,0.19,112,0.81,87,111.48,91.75,19.730000000000004,24.58799707174208,9.807522622966516,14.780474448775564,-1.6658534601451438,1.5804194999972037,-3.2462729601423472,left_vs_right,20,15,111.48,24.58799707174214,-1.6658534601451436,136,0.29,120,0.24,110,0.23,97,0.09,81,0.06,61,0.05,34,0.04,111.54,25.187862156205316,-1.420549468451061,91.75,9.807522622966516,1.5804194999972037,132,0.03,109,0.07,96,0.26,92,0.11,90,0.17,87,0.22,76,0.14,91.75,10.693339048211277,1.4426634614125426,19.730000000000004,14.780474448775625,-3.2462729601423472,19.789999999999992,14.49452310799404,-2.863212929863604,"(0.82, 123.0, 0.18, 59.0, 0.19, 112.0, 0.81, 87.0)"
0.56,43,0.44,71,0.45,66,0.55,82,55.32,74.8,-19.479999999999997,13.89883448350976,7.959899496852996,5.938934986656763,0.24174688920761403,-0.20100756305183853,0.44275445225945254,no_skew_vs_no_skew,-20,5,48.32,13.9,0.24,90,0.06,68,0.22,60,0.15,56,0.14,52,0.19,44,0.04,33,0.2,48.44,14.76,0.19,74.8,7.959899496852996,-0.20100756305183853,90,0.15,78,0.31,76,0.1,74,0.03,72,0.07,70,0.23,57,0.11,67.91,8.87,-0.2,-19.48,5.94,0.44275445225945254,-19.47,5.89,0.38,"(0.56, 36.0, 0.44, 64.0, 0.45, 59.0, 0.55, 75.0)"
0.45,123,0.55,166,0.47,154,0.53,176,146.65,165.66,-19.00999999999999,21.392229897792383,10.98018214785178,10.412047749940603,-0.20100756305184164,-0.12021658495512372,-0.08079097809671792,no_skew_vs_no_skew,-20,10,139.65,21.39,-0.2,185,0.11,163,0.26,154,0.03,146,0.21,137,0.16,123,0.17,98,0.06,139.72,22.02,-0.19,165.66,10.98018214785178,-0.12021658495512372,192,0.08,174,0.2,169,0.09,166,0.26,162,0.1,155,0.24,129,0.03,158.8,11.81,-0.15,-19.01,10.41,-0.08079097809671792,-19.08,10.22,-0.04,"(0.45, 116.0, 0.55, 159.0, 0.47, 147.0, 0.53, 169.0)"
0.53,43,0.47,87,0.49,78,0.51,90,63.68000000000001,84.12,-20.439999999999998,21.96036429570326,5.998799879975916,15.961564415727345,0.12021658495512864,-0.04000800240080408,0.16022458735593273,no_skew_vs_no_skew,-20,15,63.68,21.96,0.12,104,0.11,82,0.24,72,0.06,63,0.1,54,0.2,41,0.26,12,0.03,63.56,22.27,0.14,84.12,5.998799879975916,-0.04000800240080408,94,0.21,88,0.15,86,0.09,84,0.11,82,0.17,79,0.03,75,0.24,84.23,6.68,0.03,-20.44,15.96,0.16022458735593273,-20.67,15.6,0.11,"(0.53, 43.0, 0.47, 87.0, 0.49, 78.0, 0.51, 90.0)"
0.47,84,0.53,132,0.44,99,0.56,136,109.44,119.72000000000001,-10.280000000000015,23.956761049858184,18.3663169960664,5.590444053791785,-0.12021658495512819,-0.2417468892076189,0.1215303042524907,no_skew_vs_no_skew,-10,5,102.44,23.96,-0.12,153,0.1,130,0.21,117,0.15,106,0.25,94,0.02,80,0.24,51,0.03,102.26,24.6,-0.12,119.72000000000001,18.3663169960664,-0.2417468892076189,142,0.35,132,0.05,125,0.04,119,0.07,112,0.03,105,0.4,80,0.06,112.79,19.12,-0.17,-10.28,5.59,0.1215303042524907,-10.53,5.48,0.05,"(0.47, 77.0, 0.53, 125.0, 0.44, 92.0, 0.56, 129.0)"
0.56,97,0.44,132,0.48,116,0.52,130,112.4,123.28,-10.879999999999995,17.373543104387203,6.994397758206312,10.379145346180891,0.24174688920761292,-0.0800640769025404,0.3218109661101533,no_skew_vs_no_skew,-10,10,105.4,17.37,0.24,141,0.18,128,0.1,120,0.05,114,0.14,109,0.17,101,0.2,85,0.16,105.47,17.97,0.16,123.28,6.994397758206312,-0.0800640769025404,135,0.19,127,0.12,125,0.22,123,0.08,121,0.11,118,0.07,112,0.21,116.32,7.59,-0.02,-10.88,10.38,0.3218109661101533,-10.85,10.38,0.18,"(0.56, 90.0, 0.44, 125.0, 0.48, 109.0, 0.52, 123.0)"
0.46,67,0.54,107,0.45,93,0.55,104,88.6,99.05000000000001,-10.450000000000017,19.93589727100339,5.472430904086264,14.463466366917128,-0.1605144707810245,-0.2010075630518647,0.04049309227084022,no_skew_vs_no_skew,-10,15,81.6,19.94,-0.16,121,0.17,107,0.04,95,0.25,87,0.26,79,0.02,70,0.12,53,0.14,81.62,20.58,-0.12,99.05000000000001,5.472430904086264,-0.2010075630518647,110,0.15,102,0.18,100,0.21,98,0.23,96,0.03,94,0.09,86,0.11,92.2,6.42,-0.28,-10.45,14.46,0.04049309227084022,-10.58,14.16,0.16,"(0.46, 60.0, 0.54, 100.0, 0.45, 86.0, 0.55, 97.0)"
0.55,124,0.45,156,0.52,127,0.48,149,138.4,137.56,0.8400000000000034,15.919798993705879,10.991196477181076,4.928602516524803,0.20100756305184286,0.08006407690254518,0.12094348614929769,no_skew_vs_no_skew,0,5,131.4,15.92,0.2,173,0.08,152,0.22,144,0.17,139,0.02,135,0.15,128,0.23,110,0.13,131.53,16.53,0.12,137.56,10.991196477181076,0.08006407690254518,174,0.03,150,0.2,143,0.06,139,0.22,136,0.25,129,0.16,111,0.08,130.9,11.9,0.06,0.84,4.93,0.12094348614929769,0.63,4.63,0.06,"(0.55, 117.0, 0.45, 149.0, 0.52, 120.0, 0.48, 142.0)"
0.53,28,0.47,78,0.51,38,0.49,66,51.5,51.72,-0.21999999999999886,24.95495942693556,13.99719971994399,10.957759706991569,0.12021658495512914,0.04000800240080044,0.0802085825543287,no_skew_vs_no_skew,0,10,51.5,24.95,0.12,115,0.02,85,0.2,68,0.15,57,0.09,46,0.17,34,0.21,13,0.16,51.67,25.6,0.16,51.72,13.99719971994399,0.04000800240080044,79,0.12,63,0.18,57,0.05,52,0.14,49,0.19,41,0.23,22,0.09,51.67,14.86,0.03,-0.22,10.96,0.0802085825543287,-0.0,10.73,0.14,"(0.53, 28.0, 0.47, 78.0, 0.51, 38.0, 0.49, 66.0)"
0.47,94,0.53,137,0.54,111,0.46,125,116.78999999999999,117.44,-0.6500000000000057,21.461265107164625,6.977564044851219,14.483701062313406,-0.12021658495512724,0.16051447078102407,-0.2807310557361513,no_skew_vs_no_skew,0,15,109.79,21.46,-0.12,147,0.21,132,0.16,123,0.06,115,0.17,107,0.09,97,0.22,75,0.09,109.64,21.99,-0.17,117.44,6.977564044851219,0.16051447078102407,129,0.24,124,0.02,120,0.18,118,0.09,116,0.06,114,0.1,108,0.31,110.5,7.94,0.21,-0.65,14.48,-0.2807310557361513,-0.86,14.05,-0.37,"(0.47, 87.0, 0.53, 130.0, 0.54, 104.0, 0.46, 118.0)"
0.46,152,0.54,183,0.56,149,0.44,170,168.74,158.24,10.5,15.450320385027513,10.424125862632197,5.026194522395317,-0.16051447078103073,0.2417468892076199,-0.40226135998865065,no_skew_vs_no_skew,10,5,161.74,15.45,-0.16,194,0.17,182,0.05,173,0.22,168,0.25,162,0.08,154,0.09,140,0.14,161.56,16.13,-0.15,158.24,10.424125862632197,0.2417468892076199,178,0.17,168,0.03,161,0.21,158,0.08,156,0.2,152,0.18,139,0.13,151.38,11.27,0.22,10.5,5.03,-0.40226135998865065,10.18,4.86,-0.37,"(0.46, 145.0, 0.54, 176.0, 0.56, 142.0, 0.44, 163.0)"
0.52,135,0.48,174,0.45,134,0.55,153,153.72,144.45000000000002,9.269999999999982,19.484393755002976,9.452380652512689,10.032013102490287,0.08006407690254397,-0.20100756305186068,0.28107163995440465,no_skew_vs_no_skew,10,10,146.72,19.48,0.08,181,0.24,168,0.13,161,0.02,155,0.1,148,0.15,140,0.17,125,0.19,146.75,20.0,0.03,144.45000000000002,9.452380652512689,-0.20100756305186068,163,0.13,150,0.18,146,0.15,144,0.2,142,0.03,138,0.19,124,0.12,137.25,10.44,-0.13,9.27,10.03,0.28107163995440465,9.5,9.56,0.16,"(0.52, 128.0, 0.48, 167.0, 0.45, 127.0, 0.55, 146.0)"
0.45,53,0.55,93,0.49,59,0.51,70,75.0,64.61,10.39,19.89974874213242,5.498899889978085,14.400848852154336,-0.20100756305184173,-0.04000800240079797,-0.16099956065104376,no_skew_vs_no_skew,10,15,68.0,19.9,-0.2,104,0.23,92,0.03,82,0.15,75,0.25,67,0.06,58,0.12,41,0.16,68.27,20.81,-0.16,64.61,5.498899889978085,-0.04000800240079797,76,0.15,68,0.07,65,0.27,63,0.32,61,0.05,58,0.02,52,0.12,57.32,6.45,0.04,10.39,14.4,-0.16099956065104376,10.95,14.35,-0.2,"(0.45, 46.0, 0.55, 86.0, 0.49, 52.0, 0.51, 63.0)"
0.51,61,0.49,99,0.52,45,0.48,75,79.62,59.400000000000006,20.22,18.996199619923953,14.987995196156136,4.0082044237678165,0.04000800240079969,0.08006407690254272,-0.040056074501743026,no_skew_vs_no_skew,20,5,72.62,19.0,0.04,111,0.16,96,0.13,87,0.09,81,0.15,74,0.12,66,0.2,49,0.15,72.65,19.47,0.09,59.400000000000006,14.987995196156136,0.08006407690254272,94,0.07,72,0.26,64,0.12,60,0.02,56,0.23,48,0.21,28,0.09,52.66,15.69,0.03,20.22,4.01,-0.040056074501743026,19.99,3.78,0.06,"(0.51, 54.0, 0.49, 92.0, 0.52, 38.0, 0.48, 68.0)"
0.55,21,0.45,53,0.46,10,0.54,21,35.400000000000006,15.940000000000001,19.460000000000004,15.919798993705907,5.482371749525924,10.437427244179982,0.20100756305184178,-0.16051447078102682,0.36152203383286863,no_skew_vs_no_skew,20,10,35.4,15.92,0.2,72,0.07,51,0.22,43,0.03,37,0.11,32,0.26,24,0.21,4,0.1,35.38,16.68,0.19,15.940000000000001,5.482371749525924,-0.16051447078102682,26,0.18,18,0.32,16,0.04,14,0.22,12,0.06,10,0.12,2,0.06,16.2,6.1,-0.16,19.46,10.44,0.36152203383286863,19.18,10.58,0.35,"(0.55, 21.0, 0.45, 53.0, 0.46, 10.0, 0.54, 21.0)"
0.48,16,0.52,62,0.53,11,0.47,29,39.92,19.46,20.46,22.981592634106107,8.983785393696797,13.99780724040931,-0.08006407690254369,0.12021658495512902,-0.2002806618576727,no_skew_vs_no_skew,20,15,39.92,22.98,-0.08,96,0.03,67,0.21,50,0.25,39,0.13,29,0.08,19,0.16,2,0.14,40.16,23.55,0.01,19.46,8.983785393696797,0.12021658495512902,35,0.19,25,0.11,21,0.14,19,0.03,17,0.23,13,0.17,2,0.13,19.29,9.88,0.04,20.46,14.0,-0.2002806618576727,20.87,13.67,-0.03,"(0.48, 16.0, 0.52, 62.0, 0.53, 11.0, 0.47, 29.0)"
0.19,60,0.81,28,0.86,57,0.14,34,34.08,53.779999999999994,-19.699999999999996,12.553628957397146,7.9807017235328725,4.572927233864274,1.5804194999972014,-2.0750055037352166,3.655425003732418,right_vs_left,-20,5,17.08,12.55362895739714,1.5804194999972032,82,0.03,56,0.1,41,0.19,34,0.09,28,0.28,24,0.29,19,0.02,17.09,13.053807873567008,1.790933332830969,53.779999999999994,7.9807017235328725,-2.0750055037352166,63,0.27,57,0.16,55,0.06,53,0.29,49,0.11,40,0.08,19,0.03,36.96000000000001,8.879099053395,-1.8701617361211875,-19.700000000000003,4.572927233864303,3.655425003732418,-19.870000000000008,4.1747088201720075,3.661095068952157,"(0.19, 43.0, 0.81, 11.0, 0.86, 40.0, 0.14, 17.0)"
0.16,139,0.84,94,0.81,124,0.19,109,101.19999999999999,121.15,-19.950000000000017,16.49727250184113,5.884513573779798,10.612758928061332,1.8548520670059017,-1.5804194999972958,3.4352715670031975,right_vs_left,-20,10,84.19999999999999,16.497272501841024,1.8548520670059303,161,0.04,137,0.02,117,0.15,108,0.05,101,0.35,94,0.1,84,0.29,84.24000000000001,17.303826166486996,1.6463520348969043,121.15,5.884513573779798,-1.5804194999972958,131,0.18,126,0.05,124,0.1,122,0.13,120,0.24,117,0.27,94,0.03,104.35,6.825503644420682,-1.471429377556199,-19.950000000000017,10.612758928061115,3.4352715670031975,-20.109999999999985,10.478322522066314,3.1177814124531036,"(0.16, 122.0, 0.84, 77.0, 0.81, 107.0, 0.19, 92.0)"
0.12,96,0.88,27,0.87,58,0.13,37,35.28,55.27,-19.990000000000002,22.42234599679525,7.062372122736046,15.359973874059204,2.3387383286073216,-2.200393823765246,4.539132152372567,right_vs_left,-20,15,18.28,22.42234599679525,2.3387383286073216,123,0.03,85,0.04,46,0.36,29,0.1,23,0.14,21,0.06,19,0.27,19.159999999999997,21.89005253534125,2.166061706580092,55.27,7.062372122736046,-2.200393823765246,63,0.25,58,0.28,56,0.07,54,0.23,50,0.06,42,0.09,19,0.02,38.489999999999995,7.82367560677205,-2.2824749220773057,-20.199999999999996,15.598153736901043,4.539132152372567,-19.33,14.066376928569202,4.448536628657397,"(0.12, 79.0, 0.88, 10.0, 0.87, 41.0, 0.13, 20.0)"
0.16,193,0.84,156,0.86,175,0.14,150,161.92,171.5,-9.580000000000013,13.564424057069346,8.674675786448736,4.8897482706206095,1.8548520670059137,-2.0750055037352464,3.9298575707411603,right_vs_left,-10,5,144.92,13.564424057069289,1.8548520670059137,207,0.05,185,0.07,172,0.08,165,0.12,161,0.26,156,0.1,149,0.32,145.0,14.328293687665674,1.6203025958624862,171.5,8.674675786448736,-2.0750055037352464,183,0.19,176,0.09,174,0.05,172,0.35,169,0.22,157,0.06,136,0.04,154.54999999999998,9.578491530507296,-1.9249825279163568,-9.580000000000013,4.889748270620551,3.9298575707411603,-9.549999999999985,4.749802157158378,3.545285123778843,"(0.16, 176.0, 0.84, 139.0, 0.86, 158.0, 0.14, 133.0)"
0.17,100,0.83,53,0.82,75,0.18,54,60.989999999999995,71.22,-10.230000000000004,17.654741572733393,8.06793653916543,9.586805033567963,1.7570350646145017,-1.6658534601451058,3.4228885247596077,right_vs_left,-10,10,43.99,17.654741572733375,1.757035064614508,130,0.02,101,0.06,82,0.08,69,0.14,62,0.16,55,0.26,43,0.28,44.14,18.321582901048696,1.5272344271912888,71.22,8.06793653916543,-1.6658534601451058,83,0.16,76,0.25,74,0.04,72,0.09,70,0.26,64,0.14,44,0.06,54.52,8.962678171171829,-1.4525843816415678,-10.229999999999997,9.586805033567986,3.4228885247596077,-10.380000000000004,9.358904729876867,2.9798188088328565,"(0.17, 83.0, 0.83, 36.0, 0.82, 58.0, 0.18, 37.0)"
0.16,105,0.84,36,0.85,62,0.15,35,47.04,57.949999999999996,-10.909999999999997,25.29581783615624,9.640928378532882,15.654889457623357,1.854852067005935,-1.960392117639191,3.8152441846451257,right_vs_left,-10,15,30.04,25.29581783615624,1.8548520670059347,127,0.05,98,0.04,72,0.1,50,0.26,36,0.27,27,0.22,19,0.06,30.270000000000003,25.62258964273518,1.6946756438100083,57.949999999999996,9.640928378532882,-1.960392117639191,72,0.16,61,0.28,59,0.15,57,0.24,51,0.08,40,0.05,20,0.0399999999999999,41.01,10.59008498549468,-1.743550263766466,-10.910000000000004,15.654889457623392,3.8152441846451257,-10.739999999999997,15.032504657240498,3.4382259075764745,"(0.16, 88.0, 0.84, 19.0, 0.85, 45.0, 0.15, 18.0)"
